Start Time,English Sentence,Chinese Sentence
0:00:14.13,Who are you?,你是谁
0:00:26.15,Who are you?,你是谁
0:00:49.71,Hello?,有人吗
0:00:58.10,"I'm sorry, I got ahead of myself.",抱歉 我太心急了
0:01:02.18,"Hi there, you on the table.",你好啊 桌上那位
0:01:04.39,I wonder if you'd mind taking a brief survey.,不知道你愿不愿意做个简单的问卷调查
0:01:07.94,Who is that?,你是谁啊
0:01:09.48,Five questions.,有五个问题
0:01:10.57,"Now, I know you're sleepy,",听着 我知道你很困
0:01:11.94,but I just bet it'll make you feel right as rain.,但我肯定这会令你神清气爽
0:01:16.45,Who's speaking?,是谁在说话
0:01:27.37,God.,天啊
0:01:37.51,Hey! Open the door!,嘿 开门
0:01:47.44,I'd be just thrilled to chat once we've run the survey.,等你做完问卷调查后 我很乐意聊一聊
0:01:51.32,Shall we begin with question one?,我们开始第一个问题吧
0:01:54.40,I'm not taking your survey.,我才不做你的问卷调查呢
0:01:57.07,Shall we begin with question one?,我们开始第一个问题吧
0:02:02.99,Let me out of here.,让我出去
0:02:08.08,Hey!,嘿
0:02:10.88,Open the door!,开门
0:02:13.13,Fuck.,该死的
0:02:15.46,Hey! Let me out!,嘿 让我出去
0:02:41.24,Hey.,嘿
0:02:44.03,Hello.,你好
0:02:46.04,Five questions?,五个问题
0:02:48.62,Five questions.,五个问题
0:02:51.08,What do I get at the end?,最后我能得到什么
0:02:54.96,Depends on your answers.,那要看你怎么回答了
0:02:59.76,Okay.,好吧
0:03:01.64,Great. Off we go.,太好了 我们开始吧
0:03:03.51,"Now to start, who are you?",首先 你是谁
0:03:06.77,That's the first question?,这就是第一个问题
0:03:09.14,First name will do.,只说名字就好
0:03:26.95,It's okay.,没关系
0:03:28.50,"If you can't answer the question, feel free to say, ""unknown.""",如果你回答不出这个问题 可以说：“未知”
0:03:32.92,What is this?,这算什么
0:03:34.17,"Okay, unknown.",好 未知
0:03:35.50,"Question two, in which US state or territory were you born?",第二个问题 你出生在美国的哪个州或领地
0:03:43.72,"Question three, please name any US state or territory.",第三个问题 请说出任意一个美国州或领地的名字
0:03:52.94,"Question four, what is Mr. Eagan's favorite breakfast?",第四个问题 伊根先生最喜欢吃什么早餐
0:03:58.94,Right? Unknown. Question five.,是吗 未知 第五个问题
0:04:01.40,"And as a reminder, this is the final question.",提醒一下 这是你最后一个问题
0:04:04.07,"To the best of your memory,",请你尽量回忆
0:04:05.45,what is or was the color of your mother's eyes?,你母亲的眼睛是什么颜色
0:04:27.43,"Okay, what's hap-- What's happening?",好吧 这是怎么回事
0:04:29.77,Unknown.,未知
0:04:31.23,"So that's unknown, unknown, Delaware, unknown, unknown.",那么答案是未知 未知 特拉华州 未知 未知
0:04:38.40,What the hell did you do to me?,你对我做了些什么
0:04:51.45,That's a perfect score.,你的回答是满分
0:05:46.93,,（卢蒙 马克斯科特
0:06:49.86,Are you ready for Mr. Scout?,你准备好见斯科特先生了吗
0:07:00.42,Thank you.,谢谢
0:07:05.13,Go ahead.,请进吧
0:08:31.92,Mr. Scout.,斯科特先生
0:08:33.01,"Hi, Judd.",嗨 贾德
0:11:13.84,S,（马克
0:11:17.97,You sick?,生病了
0:11:19.22,Maybe. Petey was sniffling yesterday.,也许吧 佩蒂昨天一直在流鼻涕
0:11:21.97,"If you breathe on me, I'll rip your larynx out.",如果你冲着我呼气 我就把你喉咙扯烂
0:11:23.93,Wow. That went right to ten.,天啊 这么极端
0:11:26.43,I feel like ripping out my germ-ridden larynx,我觉得扯烂我满是细菌的喉咙
0:11:28.73,would get you sicker than just me breathing on you.,比我冲着你呼气 会让你病得更重
0:11:31.44,Nah. Endorphins.,不 内啡肽
0:11:35.02,"Petey better not be out for the day, 'cause I'm about zero seconds",佩蒂最好今天别请假 因为我马上就要
0:11:37.86,"from wrapping the Tumwater file, and he needs to process it.",完成塔姆沃特那个文件了 他得去处理
0:11:40.78,I think he's out.,我觉得他请假了
0:11:43.53,"If he doesn't process today, they won't know until Tuesday of next week.",如果他今天不处理 他们要到下周星期二才能知道了
0:11:50.33,"Hi, kids. What's for dinner?",嗨 孩子们 晚饭吃什么
0:11:52.21,"Goddamn it, Irv. We warned you.",该死的 欧文 我们警告过你
0:11:54.13,About the greeting? You were kidding.,关于问候语吗 你们在开玩笑
0:11:55.79,"No, we sincerely hate it. How many reasons did we come up with?",不 我们真的很讨厌这句话 我们给了你多少个理由
0:12:02.80,Chief among them the latent condescension.,主要理由是有潜在的居高临下感
0:12:05.35,,而且令人困惑 这种情况下 是孩子们给你做晚饭吗
0:12:08.93,Yeah. What kind of a shit dad are you?,是啊 你这爸当得也太烂了
0:12:14.61,No. And Dylan's about to wrap Tumwater today.,不 迪伦今天要完成塔姆沃特的文件
0:12:17.52,"Yeah, and if he doesn't see me finish,",是啊 如果他看不到我完成
0:12:19.15,I might get passed over for refiner of the quarter,我可能就评不上季度最佳精检员了
0:12:21.24,and miss out on my goddamn waffle party.,那样我会错过该死的华夫饼派对
0:12:26.16,"When we'd process a file in the old days,",想当年我们处理完一份文件
0:12:28.16,they'd shake our hand and fill up the creamer.,他们只会和我们握手 把奶精加满
0:12:30.04,I still don't buy they actually incentivized creamer.,我还是不信他们真会拿奶精当奖励
0:12:32.46,"They did. And back then, we were grateful for it.",是真的 当年我们对此感恩戴德呢
0:12:35.38,"That's fucked, dude.",这太糟糕了 哥们
0:12:37.13,"Yes, very fucked.",是 非常糟糕
0:12:38.84,To put in an honest day's work and not get a children's breakfast in return.,努力工作一天却没有儿童早餐当回报
0:12:43.47,Irv's got claws today.,欧文今天火气很大
0:12:46.76,"Good morning, Macrodata Refinement.",早上好 宏观数据精检部
0:12:49.35,"Hi, Mr. Milchick.",嗨 米尔奇克先生
0:12:51.64,"Mark, could I have a word?",马克 能跟你谈谈吗
0:13:23.38,"Last time you saw Ms. Cobel, she was in her old office.",你上次见到科贝尔女士时 是在她之前的办公室
0:13:26.64,Now she's in her new office.,现在她搬去了新的办公室
0:13:28.68,It's a completely different office.,那是个完全不同的办公室
0:13:31.14,What's this about?,你找我什么事
0:13:32.89,"She'd never say so,",她从来不会这么说
0:13:33.98,but I know a compliment about the office would just make her day.,但我知道夸一下她的办公室 能让她开心一整天
0:13:47.91,Mark? Come in. Shut the thing.,马克 请进 把门关上
0:13:51.29,Nice office.,办公室不错啊
0:13:52.79,It's horrid.,糟透了
0:13:55.16,"Yeah, the old one was better.",是 旧的办公室更好
0:14:04.55,You look awful. You look hungover.,你气色真差 看上去是宿醉
0:14:08.18,Have a seat.,请坐吧
0:14:15.02,The Board will be joining us remotely today.,董事会将通过连线和我们一起开会
0:14:20.27,S,马克
0:14:32.74,,你好
0:14:38.42,I assume this is about me acting as department chief today.,我猜这是要讨论我今天代理部门主管的事
0:14:41.29,Okay. Well,好吧 我的意思是
0:14:44.55,"I've subbed for Petey before, so it shouldn't be that big a thing.",我之前替佩蒂顶过班 应该没问题的
0:14:47.76,Petey is no longer with this company.,佩蒂已经从公司离职了
0:14:52.05,I'm sorry?,你说什么
0:14:54.47,"I said, Petey is no longer with this company.",我说佩蒂已经从公司离职了
0:14:59.98,"I'm sorry, Mark. You guys were one of my favorite office friendships.",我很遗憾 马克 我在公司里最喜欢你们这对朋友了
0:15:06.53,"I mean, there should have been some notice of this. What happened?",总该有个通知吧 怎么回事
0:15:10.16,"We'd love to tell you,",我们很想告诉你
0:15:11.37,"but unfortunately, non-disclosure policy forbids.",但是很不幸 保密协议不允许
0:15:14.41,We'd be aiding an assault on Petey's privacy by you.,我们告诉你就等于是帮你窥探佩蒂的隐私
0:15:20.83,"Mark, would you place your key card on my desk?",马克 你能把门卡放在我桌上吗
0:15:29.88,S,马克
0:15:34.22,in the advanced role of Macrodata Refinement department chief.,任命你为宏观数据精检部主管
0:15:37.98,Congratulations.,恭喜
0:15:49.28,A handshake is available upon request.,如果你要求的话 我可以和你握手
0:15:58.45,Thank you. May I have a handshake?,谢谢 能跟我握手吗
0:16:07.50,"I know you haven't run a training before, but Irving will be there to shadow.",我知道你之前没有负责过培训 但欧文会在场帮你
0:16:11.13,Just stick to the flowchart and escalate properly depending on dialectics.,严格按照流程表走 根据逻辑正确上报即可
0:16:15.68,You'll be fine.,你不会有问题的
0:16:23.52,"And, thank you to the Board as well.",也要感谢董事会
0:16:28.44,The Board won't be contributing to this meeting vocally.,董事会不会在此次会议上发言
0:16:43.83,,我们的上一位精检员是一位女性
